TS,X,Y,Z,Activity
1569902146029,1.9901886,34.654877,3.9677887,WALKING
1569902146048,3.8750305,-0.17298889,-6.4805145,WALKING
1569902146068,6.5397644,-5.941818,-5.570709,WALKING
1569902146088,7.241867,-0.20649719,9.400238,WALKING
1569902146108,-3.5164795,10.527313,-1.398819,WALKING
1569902146128,-9.4457245,18.733429,-3.7110138,WALKING
1569902146148,-9.27095,18.789703,-1.6771393,WALKING
1569902146168,-3.2267914,9.707901,3.2142181,WALKING
1569902146191,0.89842224,6.115402,2.5109253,WALKING
1569902146209,7.229294,5.4557953,-0.457901,WALKING
1569902146228,1.9321289,7.4405823,0.10534668,WALKING
1569902146251,-0.90859985,8.866333,-2.2044678,WALKING
1569902146268,-1.4724426,9.339188,-0.55784607,WALKING
1569902146288,-0.25978088,8.291122,0.4513092,WALKING
1569902146308,-0.5482788,7.9948425,0.77033997,WALKING
1569902146330,-1.4143829,7.8954773,1.0169373,WALKING
1569902146347,-1.743576,7.3974915,-1.1348572,WALKING
1569902146368,-1.5670166,7.7500305,-1.194107,WALKING
1569902146387,-0.21847534,9.154831,1.0642242,WALKING
1569902146409,1.3425446,9.88028,1.9117737,WALKING
1569902146429,0.5261383,10.21846,0.3100586,WALKING
1569902146448,-2.2942505,11.254547,-0.5626373,WALKING
1569902146467,-3.4847717,13.254898,-0.7068939,WALKING
1569902146487,-1.8656769,15.676041,2.7611084,WALKING
1569902146511,1.0654297,12.496536,3.612854,WALKING
1569902146527,0.10774231,11.684906,0.27534485,WALKING
1569902146551,-1.7262268,14.328705,1.4604645,WALKING
1569902146567,-0.94750977,12.735962,-1.5107422,WALKING
1569902146592,2.2182312,12.567764,-2.4594421,WALKING
1569902146607,4.098877,14.213776,-1.9865875,WALKING
1569902146630,4.9434357,18.02655,-0.14425659,WALKING
1569902146649,5.4875183,18.329407,2.3187866,WALKING
1569902146667,2.4151459,15.644913,0.7410126,WALKING
1569902146687,-0.23223877,13.455414,0.95947266,WALKING
1569902146708,-3.8989563,11.674728,1.0037689,WALKING
1569902146728,-3.621231,8.790909,0.037109375,WALKING
1569902146747,-0.9493103,6.391327,-2.2421722,WALKING
1569902146766,1.1049194,4.126419,-2.9897614,WALKING
1569902146787,3.5152893,2.8377228,-0.7805176,WALKING
1569902146806,3.6715088,2.0548248,0.58239746,WALKING
1569902146826,2.1691437,1.1139069,0.8343811,WALKING
1569902146847,2.0470428,0.79367065,1.3970184,WALKING
